knob,arm,section,branch,stage_m_msl,above_attainable_max,p_f_baseline,p_f_arm,ratio_arm_to_baseline,anchor,p_f_trans_baseline_at_stage
m_p,m_p,KP57.4,transient,41.0,False,0.35726,0.36748,1.028607,,0.35726
m_p,m_p,KP57.4,transient,41.25,False,0.4773,0.48066,1.00704,transition_midpoint,0.4773
m_p,m_p,KP57.4,transient,41.5,False,0.58726,0.58565,0.997258,,0.58726
m_p,m_p,KP57.4,transient,41.75,False,0.6799,0.67506,0.992881,,0.6799
m_p,m_p,KP57.4,transient,42.0,False,0.75624,0.74998,0.991722,,0.75624
m_p,m_p,KP57.4,transient,42.25,False,0.81677,0.80878,0.990218,,0.81677
m_p,m_p,KP57.4,transient,42.5,False,0.86255,0.85572,0.992082,,0.86255
m_p,m_p,KP57.4,transient,42.75,False,0.89857,0.89147,0.992099,,0.89857
m_p,m_p,KP57.4,transient,43.0,False,0.92403,0.91816,0.993647,,0.92403
m_p,m_p,KP57.4,transient,43.25,False,0.94361,0.9394,0.995538,grid_top,0.94361
m_p,m_p,KP58.8,transient,36.5,False,0.0,0.0,,,0.0
m_p,m_p,KP58.8,transient,37.5,False,0.0,0.0,,,0.0
m_p,m_p,KP58.8,transient,38.25,False,0.0,0.0,,,0.0
m_p,m_p,KP58.8,transient,38.75,False,0.0,0.0,,,0.0
m_p,m_p,KP58.8,transient,39.0,False,0.0,0.0,,,0.0
m_p,m_p,KP58.8,transient,39.25,False,0.0,0.0,,,0.0
m_p,m_p,KP58.8,transient,39.5,False,0.0,0.0,,,0.0
m_p,m_p,KP58.8,transient,39.75,False,0.00011,0.00036,3.272727,lowest_reachable,0.00011
m_p,m_p,KP58.8,transient,40.0,False,0.00241,0.00387,1.605809,rising_limb,0.00241
m_p,m_p,KP58.8,transient,40.25,False,0.01453,0.01951,1.342739,,0.01453
m_p,m_p,KP58.8,transient,40.5,False,0.04827,0.05804,1.202403,,0.04827
m_p,m_p,KP58.8,transient,40.75,False,0.10943,0.12246,1.119072,,0.10943
m_p,m_p,KP58.8,transient,41.0,False,0.19736,0.21134,1.070835,design_hwl,0.19736
m_p,m_p,KP58.8,transient,41.25,False,0.30279,0.31317,1.034281,,0.30279
m_p,m_p,KP58.8,transient,41.5,False,0.4124,0.41895,1.015883,,0.4124
m_p,m_p,KP58.8,transient,41.75,False,0.51725,0.51888,1.003151,transition_midpoint,0.51725
m_p,m_p,KP58.8,transient,42.0,False,0.61331,0.6106,0.995581,,0.61331
m_p,m_p,KP58.8,transient,42.25,False,0.69305,0.68845,0.993363,,0.69305
m_p,m_p,KP58.8,transient,42.5,False,0.75949,0.75451,0.993443,,0.75949
m_p,m_p,KP58.8,transient,42.75,False,0.81357,0.80699,0.991912,,0.81357
m_p,m_p,KP58.8,transient,43.0,False,0.85625,0.85036,0.993121,,0.85625
m_p,m_p,KP58.8,transient,43.25,False,0.89029,0.88417,0.993126,,0.89029
m_p,m_p,KP58.8,transient,43.5,False,0.91528,0.90962,0.993816,,0.91528
m_p,m_p,KP58.8,transient,43.75,False,0.9351,0.93084,0.995444,,0.9351
m_p,m_p,KP58.8,transient,44.0,False,0.95003,0.94668,0.996474,,0.95003
m_p,m_p,KP58.8,transient,44.25,False,0.9624,0.95894,0.996405,,0.9624
m_p,m_p,KP58.8,transient,44.5,False,0.97085,0.96827,0.997343,,0.97085
m_p,m_p,KP58.8,transient,44.75,False,0.97755,0.97514,0.997535,,0.97755
m_p,m_p,KP58.8,transient,45.0,False,0.98278,0.98036,0.997538,grid_top,0.98278
m_p,m_p,KP60.0,transient,38.25,False,0.0,0.0,,,0.0
m_p,m_p,KP60.0,transient,39.25,False,0.0,0.0,,,0.0
m_p,m_p,KP60.0,transient,39.75,False,0.0,0.0,,,0.0
m_p,m_p,KP60.0,transient,40.25,False,0.0,0.0,,,0.0
m_p,m_p,KP60.0,transient,40.5,False,0.0,0.0,,,0.0
m_p,m_p,KP60.0,transient,40.75,False,0.0,0.0,,,0.0
m_p,m_p,KP60.0,transient,41.0,False,0.0,0.0,,,0.0
m_p,m_p,KP60.0,transient,41.25,False,0.0,0.0,,,0.0
m_p,m_p,KP60.0,transient,41.5,False,1e-05,5e-05,5.0,lowest_reachable,1e-05
m_p,m_p,KP60.0,transient,41.75,False,0.00026,0.0006,2.307692,,0.00026
m_p,m_p,KP60.0,transient,42.0,False,0.00195,0.00376,1.928205,rising_limb,0.00195
m_p,m_p,KP60.0,transient,42.25,False,0.00823,0.01298,1.577157,,0.00823
m_p,m_p,KP60.0,transient,42.5,False,0.02461,0.03337,1.355953,,0.02461
m_p,m_p,KP60.0,transient,42.75,False,0.05579,0.06786,1.216347,design_hwl,0.05579
m_p,m_p,KP60.0,transient,43.0,False,0.10399,0.11859,1.140398,,0.10399
m_p,m_p,KP60.0,transient,43.25,False,0.16841,0.18298,1.086515,,0.16841
m_p,m_p,KP60.0,transient,43.5,False,0.24694,0.26004,1.053049,,0.24694
m_p,m_p,KP60.0,transient,43.75,False,0.33185,0.34112,1.027934,,0.33185
m_p,m_p,KP60.0,transient,44.0,False,0.41704,0.42322,1.014819,,0.41704
m_p,m_p,KP60.0,transient,44.25,False,0.50062,0.50308,1.004914,transition_midpoint,0.50062
m_p,m_p,KP60.0,transient,44.5,False,0.57888,0.57743,0.997495,,0.57888
m_p,m_p,KP60.0,transient,44.75,False,0.64824,0.64421,0.993783,,0.64824
m_p,m_p,KP60.0,transient,45.0,False,0.70676,0.70256,0.994057,,0.70676
m_p,m_p,KP60.0,transient,45.25,False,0.76034,0.75394,0.991583,,0.76034
m_p,m_p,KP60.0,transient,45.5,False,0.80425,0.7972,0.991234,,0.80425
m_p,m_p,KP60.0,transient,45.75,False,0.84168,0.83386,0.990709,,0.84168
m_p,m_p,KP60.0,transient,46.0,False,0.87096,0.86387,0.99186,,0.87096
m_p,m_p,KP60.0,transient,46.25,False,0.89537,0.88864,0.992484,,0.89537
