table,section,d70_interpretation,n_samples,level_m_msl,role,k_static,k_transient,p_static,p_transient,beta_static,beta_static_ci_lo,beta_static_ci_hi,beta_transient,beta_transient_ci_lo,beta_transient_ci_hi,delta_beta,delta_beta_ci_lo,delta_beta_ci_hi,delta_beta_lower_bound,B,resolved,attainable,artifact
production,KP 57.4,matrix,100000,34.75,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,36.5,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,38,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,38.5,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,38.75,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,39,,3,0,3e-05,0,4.01281,3.75213,4.3709,inf,3.96377,inf,inf,,,-0.407133,inf,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,39.25,,207,0,0.00207,0,2.86729,2.82397,2.91161,inf,3.96377,inf,inf,,,1.05215,inf,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,39.5,,2230,62,0.0223,0.00062,2.00841,1.99111,2.02578,3.22952,3.15783,3.3047,1.22111,1.15426,1.29485,1.13205,35.9677,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,39.75,,9886,731,0.09886,0.00731,1.28807,1.27742,1.29874,2.44166,2.41547,2.46811,1.15358,1.12982,1.1805,1.11673,13.5239,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,40,,24523,3616,0.24523,0.03616,0.689577,0.681085,0.698073,1.7971,1.78248,1.81176,1.10752,1.09358,1.12145,1.08441,6.7818,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,40.25,,43449,10199,0.43449,0.10199,0.164954,0.157135,0.172774,1.27029,1.25974,1.28086,1.10534,1.09539,1.11634,1.08696,4.26012,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,40.5,,61561,20568,0.61561,0.20568,-0.293971,-0.301876,-0.286067,0.821503,0.812687,0.830322,1.11547,1.1066,1.12451,1.09875,2.99305,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,40.75,,76098,33196,0.76098,0.33196,-0.709458,-0.717998,-0.700922,0.434507,0.426454,0.442562,1.14397,1.13444,1.15298,1.12738,2.29238,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,41,,86084,46306,0.86084,0.46306,-1.0841,-1.0938,-1.0744,0.0927276,0.084935,0.10052,1.17683,1.16697,1.18745,1.15934,1.85902,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,41.25,,92427,58302,0.92427,0.58302,-1.43439,-1.44594,-1.42287,-0.209625,-0.217469,-0.201783,1.22477,1.21328,1.23639,1.2054,1.58531,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,41.5,,95967,68319,0.95967,0.68319,-1.74687,-1.761,-1.73278,-0.476638,-0.48475,-0.468527,1.27023,1.25691,1.28457,1.24803,1.40469,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,41.75,,97968,76342,0.97968,0.76342,-2.04718,-2.06515,-2.02931,-0.717347,-0.725905,-0.708792,1.32984,1.31097,1.34794,1.3034,1.28328,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,42,,98995,82614,0.98995,0.82614,-2.32448,-2.34785,-2.30129,-0.939021,-0.948193,-0.929854,1.38546,1.36276,1.40858,1.3531,1.19828,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,42.25,,99520,87262,0.9952,0.87262,-2.58991,-2.6212,-2.55904,-1.13886,-1.1488,-1.12894,1.45105,1.42157,1.48128,1.41024,1.14047,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,42.5,,99765,90736,0.99765,0.90736,-2.82691,-2.86891,-2.78577,-1.32467,-1.33554,-1.31382,1.50223,1.46705,1.5452,1.45023,1.09951,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,42.75,,99878,93215,0.99878,0.93215,-3.03068,-3.08632,-2.97677,-1.492,-1.50394,-1.48008,1.53869,1.48862,1.59366,1.47283,1.07148,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,43,,99934,95053,0.99934,0.95053,-3.2116,-3.28469,-3.14179,-1.65001,-1.66322,-1.63684,1.56158,1.4979,1.6433,1.47856,1.05135,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,43.25,,99969,96437,0.99969,0.96437,-3.42271,-3.52638,-3.32633,-1.80382,-1.81856,-1.78912,1.61889,1.53201,1.72591,1.50777,1.03662,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 58.8,matrix,100000,36.5,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,37.5,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,38.25,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,38.75,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,39,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,39.25,,3,0,3e-05,0,4.01281,3.75213,4.3709,inf,3.96377,inf,inf,,,-0.407133,inf,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,39.5,,211,0,0.00211,0,2.86123,2.81824,2.90519,inf,3.96377,inf,inf,,,1.05857,inf,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,39.75,,2105,42,0.02105,0.00042,2.03253,2.01488,2.05027,3.33927,3.25464,3.42917,1.30674,1.22049,1.39708,1.20438,50.119,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,40,,9008,477,0.09008,0.00477,1.34026,1.32932,1.35122,2.59207,2.56112,2.62344,1.25181,1.22423,1.28409,1.2099,18.8847,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,40.25,,22300,2518,0.223,0.02518,0.762101,0.753439,0.770765,1.95689,1.94033,1.97353,1.19479,1.17932,1.2109,1.16956,8.85624,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,40.5,,39963,7470,0.39963,0.0747,0.254305,0.246432,0.262178,1.44165,1.43008,1.45325,1.18735,1.17586,1.19843,1.1679,5.3498,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,40.75,,57634,15596,0.57634,0.15596,-0.192539,-0.200373,-0.184706,1.0112,1.00179,1.02062,1.20374,1.19335,1.21323,1.18649,3.69543,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,41,,72206,26273,0.72206,0.26273,-0.588972,-0.597266,-0.58068,0.634952,0.626573,0.643333,1.22392,1.21503,1.23294,1.20725,2.7483,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,41.25,,82820,37803,0.8282,0.37803,-0.947076,-0.956275,-0.937882,0.310659,0.30274,0.318578,1.25773,1.24838,1.26755,1.24062,2.19083,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,41.5,,89998,49150,0.89998,0.4915,-1.28144,-1.29207,-1.27082,0.021308,0.0135268,0.0290891,1.30275,1.29152,1.31355,1.28435,1.83109,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,41.75,,94384,59498,0.94384,0.59498,-1.58785,-1.60053,-1.5752,-0.240374,-0.248238,-0.232512,1.34748,1.33531,1.36086,1.32696,1.58634,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,42,,96918,68133,0.96918,0.68133,-1.86888,-1.88437,-1.85344,-0.471421,-0.479526,-0.463318,1.39746,1.3827,1.41267,1.37391,1.42248,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,42.25,,98349,75369,0.98349,0.75369,-2.13184,-2.15122,-2.11257,-0.686148,-0.694635,-0.677663,1.44569,1.42738,1.46568,1.41793,1.3049,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,42.5,,99139,81141,0.99139,0.81141,-2.38198,-2.40679,-2.35738,-0.883104,-0.892101,-0.874112,1.49887,1.47567,1.52411,1.46528,1.22181,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,42.75,,99579,85618,0.99579,0.85618,-2.63475,-2.66774,-2.60223,-1.06331,-1.07293,-1.0537,1.57143,1.54169,1.60316,1.52929,1.16306,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,43,,99773,89198,0.99773,0.89198,-2.83798,-2.88061,-2.79626,-1.23713,-1.24753,-1.22674,1.60085,1.56276,1.64314,1.54873,1.11856,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,43.25,,99876,91745,0.99876,0.91745,-3.02577,-3.08102,-2.97222,-1.38812,-1.39937,-1.37689,1.63765,1.58909,1.69614,1.57285,1.08863,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,43.5,,99931,93743,0.99931,0.93743,-3.1988,-3.27044,-3.13029,-1.53355,-1.5458,-1.52133,1.66525,1.60411,1.73817,1.58449,1.06601,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,43.75,,99965,95240,0.99965,0.9524,-3.38958,-3.48748,-3.29809,-1.66858,-1.68196,-1.65524,1.721,1.64374,1.8206,1.61613,1.04961,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,44,,99981,96442,0.99981,0.96442,-3.5536,-3.6849,-3.43462,-1.80446,-1.8192,-1.78975,1.74914,,,1.61542,1.0367,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,44.25,,99992,97286,0.99992,0.97286,-3.77501,-3.97944,-3.60243,-1.9246,-1.94079,-1.90846,1.85042,,,1.66164,1.02781,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,44.5,,99996,97932,0.99996,0.97932,-3.9444,-4.24564,-3.71299,-2.0399,-2.05775,-2.02214,1.9045,,,1.65524,1.02108,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,44.75,,99999,98417,0.99999,0.98417,-4.26489,-5.02389,-3.86425,-2.14868,-2.16837,-2.1291,2.11621,,,1.69589,1.01607,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,45,,100000,98779,1,0.98779,-inf,-inf,-3.96377,-2.25046,-2.27216,-2.22891,inf,,,1.69161,1.01236,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 60.0,matrix,100000,38.25,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,39.25,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,39.75,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,40.25,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,40.5,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,40.75,,2,0,2e-05,0,4.10748,3.80035,4.57142,inf,3.96377,inf,inf,,,-0.607657,inf,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,41,,219,0,0.00219,0,2.84941,2.80708,2.89269,inf,3.96377,inf,inf,,,1.07108,inf,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,41.25,,2625,8,0.02625,8e-05,1.93901,1.92269,1.9554,3.77501,3.60243,3.97944,1.836,,,1.64703,328.125,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,41.5,,12206,204,0.12206,0.00204,1.16475,1.15471,1.1748,2.87191,2.82832,2.91651,1.70716,1.66471,1.75085,1.65352,59.8333,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,41.75,,30278,1362,0.30278,0.01362,0.516422,0.508252,0.524593,2.20806,2.18737,2.22889,1.69164,1.66904,1.71222,1.66278,22.2305,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,42,,51787,4870,0.51787,0.0487,-0.0448084,-0.0525918,-0.0370252,1.65759,1.64435,1.67087,1.7024,1.68913,1.71585,1.68137,10.6339,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,42.25,,70403,11408,0.70403,0.11408,-0.536027,-0.54423,-0.527826,1.20511,1.19488,1.21535,1.74114,1.72969,1.75255,1.72271,6.17137,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,42.5,,83683,20679,0.83683,0.20679,-0.981513,-0.990829,-0.972202,0.81761,0.808805,0.826419,1.79912,1.78807,1.81038,1.78101,4.04676,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,42.75,,91650,31427,0.9165,0.31427,-1.38191,-1.39311,-1.37072,0.483783,0.475662,0.491905,1.86569,1.85357,1.87842,1.84638,2.91628,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,43,,96034,42504,0.96034,0.42504,-1.75465,-1.76886,-1.74047,0.189016,0.181185,0.196848,1.94366,1.92796,1.95839,1.92166,2.25941,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,43.25,,98173,52893,0.98173,0.52893,-2.09087,-2.10954,-2.07229,-0.0725804,-0.0803685,-0.0647926,2.01829,1.9985,2.03933,1.99192,1.85607,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,43.5,,99208,62322,0.99208,0.62322,-2.41258,-2.43822,-2.38719,-0.313949,-0.321871,-0.306027,2.09863,2.0737,2.12298,2.06532,1.59186,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,43.75,,99653,70125,0.99653,0.70125,-2.69971,-2.73542,-2.66458,-0.527999,-0.536189,-0.519811,2.17171,2.1378,2.20584,2.12839,1.42108,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,44,,99837,76611,0.99837,0.76611,-2.94209,-2.99118,-2.89429,-0.726096,-0.734674,-0.717521,2.216,2.17049,2.26473,2.15962,1.30317,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,44.25,,99934,81879,0.99934,0.81879,-3.2116,-3.28469,-3.14179,-0.910763,-0.919845,-0.901687,2.30083,2.23266,2.37469,2.22194,1.22051,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,44.5,,99970,85962,0.9997,0.85962,-3.43161,-3.53691,-3.33386,-1.07861,-1.0883,-1.06894,2.353,2.26286,2.46446,2.24557,1.16296,true,false,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,44.75,,99991,89079,0.99991,0.89079,-3.74555,-3.93758,-3.58146,-1.23074,-1.24111,-1.22038,2.51481,,,2.34035,1.1225,true,false,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,45,,99997,91553,0.99997,0.91553,-4.01281,-4.3709,-3.75213,-1.37562,-1.38679,-1.36446,2.63719,,,2.36534,1.09223,true,false,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,45.25,,99998,93335,0.99998,0.93335,-4.10748,-4.57142,-3.80035,-1.50121,-1.51322,-1.48923,2.60626,,,2.28713,1.07139,true,false,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,45.5,,99999,94833,0.99999,0.94833,-4.26489,-5.02389,-3.86425,-1.62887,-1.64189,-1.61588,2.63602,,,2.22236,1.05447,true,false,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,45.75,,100000,95948,1,0.95948,-inf,-inf,-3.96377,-1.74468,-1.75879,-1.73061,inf,,,2.20497,1.04223,true,false,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,46,,100000,96821,1,0.96821,-inf,-inf,-3.96377,-1.85511,-1.87044,-1.83984,inf,,,2.09333,1.03283,true,false,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,46.25,,100000,97491,1,0.97491,-inf,-inf,-3.96377,-1.95843,-1.97508,-1.94184,inf,,,1.98869,1.02574,true,false,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,46.5,,100000,98023,1,0.98023,-inf,-inf,-3.96377,-2.05852,-2.07667,-2.04047,inf,,,1.8871,1.02017,true,false,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,46.75,,100000,98433,1,0.98433,-inf,-inf,-3.96377,-2.15273,-2.17249,-2.13308,inf,,,1.79128,1.01592,true,false,results/tokachi_kp60.0_historical_matrix.h5
production,KP 62.0,matrix,100000,41.75,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp62.0_historical_matrix.h5
production,KP 62.0,matrix,100000,43.25,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp62.0_historical_matrix.h5
production,KP 62.0,matrix,100000,44.5,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp62.0_historical_matrix.h5
production,KP 62.0,matrix,100000,45,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp62.0_historical_matrix.h5
production,KP 62.0,matrix,100000,45.25,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp62.0_historical_matrix.h5
production,KP 62.0,matrix,100000,45.5,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp62.0_historical_matrix.h5
production,KP 62.0,matrix,100000,45.75,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,true,results/tokachi_kp62.0_historical_matrix.h5
production,KP 62.0,matrix,100000,46,,3,0,3e-05,0,4.01281,3.75213,4.3709,inf,3.96377,inf,inf,,,-0.407133,inf,false,true,results/tokachi_kp62.0_historical_matrix.h5
production,KP 62.0,matrix,100000,46.25,,42,1,0.00042,1e-05,3.33927,3.25464,3.42917,4.26489,3.86425,5.02389,0.925625,,,0.435082,42,false,true,results/tokachi_kp62.0_historical_matrix.h5
production,KP 62.0,matrix,100000,46.5,,393,15,0.00393,0.00015,2.65803,2.6246,2.69196,3.6153,3.48357,3.76296,0.957275,,,0.791606,26.2,false,true,results/tokachi_kp62.0_historical_matrix.h5
production,KP 62.0,matrix,100000,46.75,,1720,130,0.0172,0.0013,2.11535,2.09636,2.13444,3.01145,2.95895,3.06558,0.896102,0.851716,0.948046,0.824503,13.2308,true,true,results/tokachi_kp62.0_historical_matrix.h5
production,KP 62.0,matrix,100000,47,,5223,499,0.05223,0.00499,1.62361,1.61066,1.63658,2.57652,2.54612,2.60732,0.952916,0.924916,0.981669,0.909538,10.4669,true,true,results/tokachi_kp62.0_historical_matrix.h5
production,KP 62.0,matrix,100000,47.25,,11564,1464,0.11564,0.01464,1.19707,1.18688,1.20727,2.1797,2.15955,2.19997,0.982628,0.962903,1.00141,0.952283,7.89891,true,true,results/tokachi_kp62.0_historical_matrix.h5
