bracket,kind,section,anchor,stage_m_msl,above_attainable_max,p_f_trans_baseline,n_failures_trans_baseline,span_trans,moves_both_branches,cancellation_arm,max_resolved_departure_factor
alpha_exponent,epistemic,KP62.0,design_hwl,46.5,False,0.00013,13,141,False,,
alpha_exponent,epistemic,KP62.0,transition_midpoint,49.75,False,0.50765,50765,1.46,False,,
alpha_exponent,epistemic,KP62.0,grid_top,56.5,True,0.9888,98880,1.01,False,,
L_measurement,epistemic,KP57.4,lowest_reachable,39.5,False,0.00014,14,unbounded,True,L_dem_clean_median,1.3274
L_measurement,epistemic,KP57.4,rising_limb,39.75,False,0.00295,295,unbounded,True,L_dem_clean_median,1.3274
L_measurement,epistemic,KP57.4,design_hwl,39.25,False,0.0,0,not_defined,True,L_dem_clean_median,1.3274
L_measurement,epistemic,KP57.4,transition_midpoint,41.25,False,0.4773,47730,58.21,True,L_dem_clean_median,1.3274
L_measurement,epistemic,KP57.4,grid_top,43.25,False,0.94361,94361,3.78,True,L_dem_clean_median,1.3274
L_measurement,epistemic,KP58.8,lowest_reachable,39.75,False,0.00011,11,11.00,True,L_dem_clean_median,1.7801
L_measurement,epistemic,KP58.8,rising_limb,40.0,False,0.00241,241,7.09,True,L_dem_clean_median,1.7801
L_measurement,epistemic,KP58.8,design_hwl,41.0,False,0.19736,19736,2.68,True,L_dem_clean_median,1.7801
L_measurement,epistemic,KP58.8,transition_midpoint,41.75,False,0.51725,51725,1.78,True,L_dem_clean_median,1.7801
L_measurement,epistemic,KP58.8,grid_top,45.0,False,0.98278,98278,1.05,True,L_dem_clean_median,1.7801
L_measurement,epistemic,KP60.0,lowest_reachable,41.5,False,1e-05,1,unbounded,True,L_dem_clean_median,2.2906
L_measurement,epistemic,KP60.0,rising_limb,42.0,False,0.00195,195,16.25,True,L_dem_clean_median,2.2906
L_measurement,epistemic,KP60.0,design_hwl,42.75,False,0.05579,5579,6.38,True,L_dem_clean_median,2.2906
L_measurement,epistemic,KP60.0,transition_midpoint,44.25,False,0.50062,50062,2.22,True,L_dem_clean_median,2.2906
L_measurement,epistemic,KP60.0,grid_top,46.75,False,0.93074,93074,1.19,True,L_dem_clean_median,2.2906
L_measurement,epistemic,KP62.0,lowest_reachable,46.25,False,1e-05,1,unbounded,True,L_withdrawn_1998,1.8718
L_measurement,epistemic,KP62.0,rising_limb,46.75,False,0.00101,101,8.42,True,L_withdrawn_1998,1.8718
L_measurement,epistemic,KP62.0,design_hwl,46.5,False,0.00013,13,13.00,True,L_withdrawn_1998,1.8718
L_measurement,epistemic,KP62.0,transition_midpoint,49.75,False,0.50765,50765,1.63,True,L_withdrawn_1998,1.8718
L_measurement,epistemic,KP62.0,grid_top,56.5,True,0.9888,98880,1.02,True,L_withdrawn_1998,1.8718
m_p,epistemic,KP57.4,lowest_reachable,39.5,False,0.00014,14,3.29,True,m_p,1.7676
m_p,epistemic,KP57.4,rising_limb,39.75,False,0.00295,295,1.68,True,m_p,1.7676
m_p,epistemic,KP57.4,design_hwl,39.25,False,0.0,0,not_defined,True,m_p,1.7676
m_p,epistemic,KP57.4,transition_midpoint,41.25,False,0.4773,47730,1.01,True,m_p,1.7676
m_p,epistemic,KP57.4,grid_top,43.25,False,0.94361,94361,1.00,True,m_p,1.7676
m_p,epistemic,KP58.8,lowest_reachable,39.75,False,0.00011,11,3.27,True,m_p,1.8174
m_p,epistemic,KP58.8,rising_limb,40.0,False,0.00241,241,1.61,True,m_p,1.8174
m_p,epistemic,KP58.8,design_hwl,41.0,False,0.19736,19736,1.07,True,m_p,1.8174
m_p,epistemic,KP58.8,transition_midpoint,41.75,False,0.51725,51725,1.00,True,m_p,1.8174
m_p,epistemic,KP58.8,grid_top,45.0,False,0.98278,98278,1.00,True,m_p,1.8174
m_p,epistemic,KP60.0,lowest_reachable,41.5,False,1e-05,1,5.00,True,m_p,1.2544
m_p,epistemic,KP60.0,rising_limb,42.0,False,0.00195,195,1.93,True,m_p,1.2544
m_p,epistemic,KP60.0,design_hwl,42.75,False,0.05579,5579,1.22,True,m_p,1.2544
m_p,epistemic,KP60.0,transition_midpoint,44.25,False,0.50062,50062,1.00,True,m_p,1.2544
m_p,epistemic,KP60.0,grid_top,46.75,False,0.93074,93074,1.00,True,m_p,1.2544
m_p,epistemic,KP62.0,lowest_reachable,46.25,False,1e-05,1,2.00,True,m_p,1.0855
m_p,epistemic,KP62.0,rising_limb,46.75,False,0.00101,101,1.76,True,m_p,1.0855
m_p,epistemic,KP62.0,design_hwl,46.5,False,0.00013,13,2.46,True,m_p,1.0855
m_p,epistemic,KP62.0,transition_midpoint,49.75,False,0.50765,50765,1.00,True,m_p,1.0855
m_p,epistemic,KP62.0,grid_top,56.5,True,0.9888,98880,1.00,True,m_p,1.0855
gamma_bl_sub_prior_mean,epistemic,KP57.4,lowest_reachable,39.5,False,0.00014,14,1.36,False,gamma_bl_sub_lower,1.3571
gamma_bl_sub_prior_mean,epistemic,KP57.4,rising_limb,39.75,False,0.00295,295,1.07,False,gamma_bl_sub_lower,1.3571
gamma_bl_sub_prior_mean,epistemic,KP57.4,design_hwl,39.25,False,0.0,0,not_defined,False,gamma_bl_sub_lower,1.3571
gamma_bl_sub_prior_mean,epistemic,KP57.4,transition_midpoint,41.25,False,0.4773,47730,1.00,False,gamma_bl_sub_lower,1.3571
