river,bank,kp,mechanism,scenario,stage_m_msl,p_f
Satsunai,left,3.8,overflow,historical,39.2,0.5488
Satsunai,left,3.8,overflow,historical,39.4,0.7965
Satsunai,left,3.8,overflow,historical,39.6,0.936
Satsunai,left,3.8,overflow,historical,39.8,0.9866
Satsunai,left,3.8,overflow,historical,40,0.9982
Satsunai,left,3.8,overflow,historical,40.2,0.9998
Satsunai,left,3.8,overflow,historical,40.4,1
Satsunai,left,3.8,overflow,historical,40.6,1
Satsunai,left,3.8,overflow,historical,40.8,1
Satsunai,left,3.8,overflow,historical,41,1
Satsunai,left,3.8,overflow,historical,41.2,1
Satsunai,left,3.8,overflow,historical,41.4,1
Satsunai,left,3.8,overflow,historical,41.6,1
Satsunai,left,3.8,overflow,historical,41.8,1
Satsunai,left,3.8,overflow,plus4K,34.4,0
Satsunai,left,3.8,overflow,plus4K,34.6,0
Satsunai,left,3.8,overflow,plus4K,34.8,0
Satsunai,left,3.8,overflow,plus4K,35,0
Satsunai,left,3.8,overflow,plus4K,35.2,0
Satsunai,left,3.8,overflow,plus4K,35.4,0
Satsunai,left,3.8,overflow,plus4K,35.6,0
Satsunai,left,3.8,overflow,plus4K,35.8,0
Satsunai,left,3.8,overflow,plus4K,36,0
Satsunai,left,3.8,overflow,plus4K,36.2,0
Satsunai,left,3.8,overflow,plus4K,36.4,0
Satsunai,left,3.8,overflow,plus4K,36.6,0
Satsunai,left,3.8,overflow,plus4K,36.8,0
Satsunai,left,3.8,overflow,plus4K,37,0
Satsunai,left,3.8,overflow,plus4K,37.2,0
Satsunai,left,3.8,overflow,plus4K,37.4,0
Satsunai,left,3.8,overflow,plus4K,37.6,0
Satsunai,left,3.8,overflow,plus4K,37.8,0
Satsunai,left,3.8,overflow,plus4K,38,0
Satsunai,left,3.8,overflow,plus4K,38.2,0.0003
Satsunai,left,3.8,overflow,plus4K,38.4,0.0046
Satsunai,left,3.8,overflow,plus4K,38.6,0.0243
Satsunai,left,3.8,overflow,plus4K,38.8,0.1037
Satsunai,left,3.8,overflow,plus4K,39,0.2843
Satsunai,left,3.8,overflow,plus4K,39.2,0.5488
Satsunai,left,3.8,overflow,plus4K,39.4,0.7965
Satsunai,left,3.8,overflow,plus4K,39.6,0.936
Satsunai,left,3.8,overflow,plus4K,39.8,0.9866
Satsunai,left,3.8,overflow,plus4K,40,0.9982
Satsunai,left,3.8,overflow,plus4K,40.2,0.9998
Satsunai,left,3.8,overflow,plus4K,40.4,1
Satsunai,left,3.8,overflow,plus4K,40.6,1
Satsunai,left,3.8,overflow,plus4K,40.8,1
Satsunai,left,3.8,overflow,plus4K,41,1
Satsunai,left,3.8,overflow,plus4K,41.2,1
Satsunai,left,3.8,overflow,plus4K,41.4,1
Satsunai,left,3.8,overflow,plus4K,41.6,1
Satsunai,left,3.8,overflow,plus4K,41.8,1
Satsunai,left,4,overflow,historical,35,0
Satsunai,left,4,overflow,historical,35.2,0
Satsunai,left,4,overflow,historical,35.4,0
Satsunai,left,4,overflow,historical,35.6,0
Satsunai,left,4,overflow,historical,35.8,0
Satsunai,left,4,overflow,historical,36,0
Satsunai,left,4,overflow,historical,36.2,0
Satsunai,left,4,overflow,historical,36.4,0
Satsunai,left,4,overflow,historical,36.6,0
Satsunai,left,4,overflow,historical,36.8,0
Satsunai,left,4,overflow,historical,37,0
Satsunai,left,4,overflow,historical,37.2,0
Satsunai,left,4,overflow,historical,37.4,0
Satsunai,left,4,overflow,historical,37.6,0
Satsunai,left,4,overflow,historical,37.8,0
Satsunai,left,4,overflow,historical,38,0
Satsunai,left,4,overflow,historical,38.2,0
Satsunai,left,4,overflow,historical,38.4,0
Satsunai,left,4,overflow,historical,38.6,0
Satsunai,left,4,overflow,historical,38.8,0
