river,bank,kp,mechanism,scenario,stage_m_msl,p_f
Satsunai,left,3.4,fluvial_scour,plus4K,40.2,0
Satsunai,left,3.4,overflow,plus4K,40.4,1
Satsunai,left,3.4,fluvial_scour,plus4K,40.4,0
Satsunai,left,3.6,overflow,plus4K,34,0
Satsunai,left,3.6,fluvial_scour,plus4K,34,0
Satsunai,left,3.6,overflow,plus4K,34.2,0
Satsunai,left,3.6,fluvial_scour,plus4K,34.2,0
Satsunai,left,3.6,overflow,plus4K,34.4,0
Satsunai,left,3.6,fluvial_scour,plus4K,34.4,0
Satsunai,left,3.6,overflow,plus4K,34.6,0
Satsunai,left,3.6,fluvial_scour,plus4K,34.6,0
Satsunai,left,3.6,overflow,plus4K,34.8,0
Satsunai,left,3.6,fluvial_scour,plus4K,34.8,0
Satsunai,left,3.6,overflow,plus4K,35,0
Satsunai,left,3.6,fluvial_scour,plus4K,35,0
Satsunai,left,3.6,overflow,plus4K,35.2,0
Satsunai,left,3.6,fluvial_scour,plus4K,35.2,0
Satsunai,left,3.6,overflow,plus4K,35.4,0
Satsunai,left,3.6,fluvial_scour,plus4K,35.4,0
Satsunai,left,3.6,overflow,plus4K,35.6,0
Satsunai,left,3.6,fluvial_scour,plus4K,35.6,0
Satsunai,left,3.6,overflow,plus4K,35.8,0
Satsunai,left,3.6,fluvial_scour,plus4K,35.8,0
Satsunai,left,3.6,overflow,plus4K,36,0
Satsunai,left,3.6,fluvial_scour,plus4K,36,0
Satsunai,left,3.6,overflow,plus4K,36.2,0
Satsunai,left,3.6,fluvial_scour,plus4K,36.2,0
Satsunai,left,3.6,overflow,plus4K,36.4,0
Satsunai,left,3.6,fluvial_scour,plus4K,36.4,0
Satsunai,left,3.6,overflow,plus4K,36.6,0
Satsunai,left,3.6,fluvial_scour,plus4K,36.6,0
Satsunai,left,3.6,overflow,plus4K,36.8,0
Satsunai,left,3.6,fluvial_scour,plus4K,36.8,0
Satsunai,left,3.6,overflow,plus4K,37,0
Satsunai,left,3.6,fluvial_scour,plus4K,37,0
