kp,borehole,test_no,depth_top_m,depth_bot_m,layer,unit,jgs_class,rho_s_gcm3,wn_pct,gravel_pct,sand_pct,silt_pct,clay_pct,dmax_mm,d60_mm,d50_mm,d30_mm,d20_mm,d10_mm,uc,ucc,k_est_cms,k_lab_cms,source_table,thesis_label,note
58.8,B-4,D4-1,1.15,1.45,Bc,fill,GF,2.740,8.2,49.6,30.7,13.4,6.3,26.50,6.45,1.78,0.22,0.0781,0.0114,566,0.658,9.00E-04,,4-3-1,,
58.8,B-4,D4-2,3.15,3.45,Bc,fill,SFg,2.670,22.7,12.3,45.6,31.7,10.4,19.00,0.144,0.1,0.0421,0.0202,0.0045,32.0,2.74,3.90E-05,,4-3-1,,
58.8,B-4,D4-3,4.15,4.45,Bc,fill,Fg,2.647,31.1,23.4,20.6,40.5,15.5,19.00,0.1,0.049,0.0158,0.0076,0.0027,36.6,0.936,6.20E-06,,4-3-1,,
60.0,B-6,B6-1,2.00,3.00,Bg,fill,GW,2.712,11.9,85.3,9.8,3.4,1.5,53.0,13.2,10.5,5.11,2.97,0.53,24.9,3.73,4.00E+00,1.83E-02,4-3-1,B-6-2,
60.0,B-5,D5-1,1.15,1.45,Bg,fill,GF,2.689,10.5,49.5,33.1,12.3,5.1,26.50,10.2,1.75,0.235,0.109,0.0165,618,0.328,1.80E-03,,4-3-1,,
60.0,B-6,D6-1,1.15,1.45,Bg,fill,SFg,2.695,14.5,29.7,38.0,21.2,11.1,26.50,0.384,0.225,0.0601,0.0179,0.0041,93.7,2.29,3.00E-05,,4-3-1,,
60.0,B-6,60.0,0.00,0.50,Bs,fill,SF,2.666,23.7,4.2,59.6,26.6,9.6,19.0,0.228,0.154,0.0479,0.018,0.0053,43.0,1.90,4.00E-05,5.59E-02,4-3-1,B-6-1,depth 0.50 to 1.00 on sheet 4 and the B-6 log
60.0,B-5,D5-2,2.15,2.50,Bs,fill,SFg,2.697,19.9,16.9,51.2,22.2,9.7,19.00,0.23,0.166,0.0862,0.0261,0.0053,43.4,3.60,6.20E-05,,4-3-1,,
60.0,B-5,D5-3,3.15,3.45,Bs,fill,F,2.648,37.3,0.0,20.2,59.0,20.8,2.00,0.039,0.028,0.0105,0.0046,0.0012,32.8,2.33,2.60E-06,,4-3-1,,
60.0,B-5,D6-2,3.15,3.45,Bs,fill,F,2.685,25.7,0.3,46.9,38.4,14.4,4.75,0.096,0.067,0.023,0.0091,0.0027,35.4,2.05,8.50E-06,,4-3-1,,printed with borehole B-5 and test number D6-2
62.0,B-9,62.0,0.00,0.50,Bg,fill,GF,2.685,12.9,50.7,28.9,16.1,4.3,75.0,7.87,2.29,0.196,0.0723,0.0193,408,0.253,7.50E-04,,4-3-1,62.0-1,depth 0.50 to 1.00 on sheet 4 and the B-9 log
62.0,B-9,B9-1,1.00,2.00,Bg,fill,GF,2.700,10.4,43.9,37.5,13.7,4.9,75.0,3.46,0.906,0.202,0.0877,0.016,216,0.74,1.10E-03,1.08E-03,4-3-1,B-9-1,
62.0,B-7,D7-1,1.15,1.45,Bg,fill,GF,2.692,9.9,41.8,40.1,13.2,4.9,19.00,2.47,0.85,0.204,0.0912,0.0216,114,0.780,1.30E-03,,4-3-1,,
62.0,B-7,D7-2,2.15,2.45,Bg,fill,GF,2.694,14.3,45.3,35.8,14.7,4.2,26.50,4.57,0.934,0.162,0.0821,0.024,190,0.239,9.50E-04,,4-3-1,,
62.0,B-8,D8-1,1.15,1.45,Bg,fill,SFg,2.740,8.2,36.6,44.5,14.8,4.1,26.50,1.16,0.524,0.17,0.0823,0.023,50.4,1.08,9.50E-04,,4-3-1,,
62.0,B-8,D8-2,2.15,2.45,Bg,fill,SFg,2.670,22.7,30.1,36.7,24.6,8.6,19.00,0.503,0.258,0.0552,0.0204,0.0063,79.8,0.962,3.90E-05,,4-3-1,,
62.0,B-8,D8-3,3.15,3.45,Bg,fill,G-F,2.647,31.1,71.5,21.9,5.0,1.6,26.50,16.3,13.7,2.68,0.539,0.175,93.1,2.52,8.00E-02,,4-3-1,,
62.0,B-9,D9-1,2.15,2.45,Bg,fill,GF,2.662,17.4,39.3,32.0,19.9,8.8,26.50,1.8,0.484,0.0922,0.0229,0.0062,287,0.770,4.80E-05,,4-3-1,,
57.4,B-1,D1-3,3.15,3.45,Ac,blanket,F,2.507,60.6,0.0,11.7,47.0,41.3,0.85,0.0111,0.0074,0.0028,0.0014,,,,1.50E-06,,4-3-2,,depth printed 1.00 to 1.30; the B-1 log places D-1-3 at 3.15 to 3.45 in the silt
58.8,B-3,D3-3,3.15,3.45,Ac,blanket,F,2.694,50.0,0.0,12.2,62.0,25.8,0.43,0.0257,0.0177,0.0067,0.0014,0.001,25.7,1.75,1.50E-06,,4-3-2,,
60.0,B-5,D5-4,5.15,5.45,Ac,blanket,G-F,2.722,8.1,55.1,31.5,8.6,4.8,19.00,9.37,4.13,0.513,0.206,0.03,312,0.936,8.50E-03,,4-3-2,,
60.0,B-6,D6-3,4.15,4.45,Ac,blanket,F,2.631,43.7,0.0,15.3,60.3,24.4,0.85,,0.0197,0.0074,0.0035,0.0013,22.3,1.45,1.80E-06,,4-3-2,,d60 illegible in the scan
62.0,B-7,D7-3,3.15,3.45,Ac,blanket,S-Fg,2.709,5.4,26.7,60.3,9.3,3.7,19.00,0.653,0.482,0.28,0.175,0.039,16.7,3.08,6.00E-03,,4-3-2,,
62.0,B-8,D8-4,4.15,4.45,Ac,blanket,SF,2.697,10.2,0.5,65.1,20.2,14.2,4.75,0.204,0.151,0.0533,0.0135,0.0019,107,7.33,1.60E-05,,4-3-2,,
57.4,B-2,B2-2,5.00,6.00,Ag,aquifer,G-F,2.736,4.6,53.8,35.5,6.5,4.2,37.5,4.76,2.47,0.826,0.413,0.0517,92.1,2.77,4.50E-02,,4-3-2,B-2-3,Table 4-3-2 carries the B-2 field test 5.09E-03 in its k column
57.4,B-1,D1-4,5.15,5.45,Ag,aquifer,GW,2.640,5.5,68.3,28.6,1.6,1.5,19.00,6.78,4.71,1.75,0.668,0.339,20.0,1.33,1.50E-01,,4-3-2,,
57.4,B-1,D1-5,7.15,7.45,Ag,aquifer,GW,2.650,5.7,75.6,20.9,2.0,1.5,37.50,12.3,9.9,3.1,1.41,0.507,24.3,1.54,7.35E-01,,4-3-2,,
57.4,B-1,D1-6,10.15,10.45,Ag,aquifer,G-F,2.655,7.2,64.5,28.6,5.2,1.7,26.50,6.56,4.74,1.22,0.425,0.149,44.0,1.52,4.73E-02,,4-3-2,,
57.4,B-2,D2-3,6.15,6.45,Ag,aquifer,GW,2.732,3.8,78.2,18.6,1.9,1.3,37.50,14.0,11.4,5.43,1.56,0.463,30.2,4.55,8.00E-01,,4-3-2,,
57.4,B-2,D2-4,8.15,8.45,Ag,aquifer,G-F,2.713,8.0,62.7,29.0,5.7,2.6,26.50,6.21,4.27,1.23,0.544,0.108,57.5,2.26,8.50E-02,,4-3-2,,
57.4,B-2,D2-5,10.15,10.45,Ag,aquifer,G-F,2.758,6.3,66.7,27.4,3.7,2.2,37.50,8.92,6.27,1.55,0.7,0.191,46.7,1.41,1.70E-01,,4-3-2,,
58.8,B-4,B4-2,6.50,7.50,Ag,aquifer,G-F,2.715,6.6,68.9,24.0,4.8,2.3,53.0,11.1,7.62,1.78,0.624,0.192,57.8,1.49,1.25E-01,,4-3-2,B-4-3,depth 6.50 to 7.00 on sheet 4; Table 4-3-2 carries the B-4 field test 2.23E-04 in its k column
58.8,B-3,D3-4,5.15,5.45,Ag,aquifer,GP,2.759,6.5,59.7,36.3,2.5,1.5,26.50,6.56,3.95,1.06,0.668,0.303,21.7,0.565,1.10E-01,,4-3-2,,
58.8,B-3,D3-5,7.15,7.45,Ag,aquifer,GP,2.761,7.9,68.4,28.7,0.8,2.1,19.00,8.87,6.64,1.78,1.41,0.359,24.7,0.995,2.20E-01,,4-3-2,,
58.8,B-3,D3-6,9.15,9.45,Ag,aquifer,GW,2.753,6.1,77.7,18.3,2.3,1.7,26.50,13.2,9.26,4.32,0.425,0.393,33.6,3.60,7.50E-01,,4-3-2,,
58.8,B-4,D4-4,5.15,5.45,Ag,aquifer,S-F,2.697,10.2,0.0,89.0,7.4,3.6,2.00,0.261,0.232,0.17,0.135,0.0585,4.46,1.89,3.00E-03,,4-3-2,,the B-4 log places it in a 0.45 m sand unit directly beneath the blanket
58.8,B-4,D4-5,8.15,8.45,Ag,aquifer,G-F,2.699,5.8,67.2,26.9,3.3,2.6,26.50,12.2,8.88,1.46,0.464,0.167,73.1,1.05,2.50E-04,,4-3-2,,
